group,file,id,step_idx,question,baseline_epoch,final_epoch,final_flip,efficacy,specificity,repr_step_answer_before_mean,repr_step_answer_after_mean,repr_step_answer_delta_mean,repr_step_answer_before_last4,repr_step_answer_after_last4,repr_step_answer_delta_last4,repr_answer_removed_before_mean,repr_answer_removed_after_mean,repr_answer_removed_delta_mean,repr_answer_removed_before_last4,repr_answer_removed_after_last4,repr_answer_removed_delta_last4,attn_answer_to_step_before_mean,attn_answer_to_step_after_mean,attn_answer_to_step_delta_mean,attn_answer_to_step_before_last4,attn_answer_to_step_after_last4,attn_answer_to_step_delta_last4,attn_answer_to_prefix_before_mean,attn_answer_to_prefix_after_mean,attn_answer_to_prefix_delta_mean,attn_answer_to_prefix_before_last4,attn_answer_to_prefix_after_last4,attn_answer_to_prefix_delta_last4,attn_answer_to_post_step_before_mean,attn_answer_to_post_step_after_mean,attn_answer_to_post_step_delta_mean,attn_answer_to_post_step_before_last4,attn_answer_to_post_step_after_last4,attn_answer_to_post_step_delta_last4,warnings_before,warnings_after
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_7171605,5,Students are observing two fossils in a lab. They are told by the teacher that the fossils were found in different rock layers. What can the students most likely determine from just observing the fossils?,0,5,0,99.761504,95.000000,0.682310,0.681197,-0.001113,0.785739,0.755911,-0.029829,0.997614,0.998066,0.000452,0.996104,0.996559,0.000455,0.015577,0.016228,0.000651,0.006954,0.008602,0.001648,0.775757,0.778564,0.002808,0.681641,0.697266,0.015625,0.208664,0.205200,-0.003464,0.311035,0.293213,-0.017822,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_7103600,1,A student investigates the effects of fertilizer on corn plants by performing the following steps.1. Plant groups of corn plants in the same type and amount of soil in full sunlight.2. Add the same amount of different brands of fertilizer to each group.3. Water the plants for 5 minutes each day.4. Measure the heights of the plants each day. What is the independent variable in this investigation?,0,5,0,95.169669,100.000000,0.619888,0.639060,0.019172,0.753324,0.773532,0.020208,0.997967,0.997740,-0.000227,0.997508,0.997584,0.000077,0.041780,0.041468,-0.000312,0.008911,0.007736,-0.001175,0.693542,0.692078,-0.001465,0.631836,0.651367,0.019531,0.264282,0.266327,0.002045,0.358398,0.340332,-0.018066,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_409647,3,"Nutrient-laden waters from heavy rains flow into the Gulf of Mexico. This produces an algae bloom in the ocean environment. As the algae decays, it uses up large amounts of oxygen along the coastline. Which will most likely happen to the area as a result?",0,5,0,96.007511,95.000000,0.590504,0.602053,0.011549,0.766525,0.786986,0.020461,0.998885,0.998895,0.000010,0.998740,0.998711,-0.000029,0.028553,0.028605,0.000052,0.002140,0.002520,0.000380,0.499672,0.499931,0.000259,0.445312,0.424316,-0.020996,0.471710,0.471375,-0.000336,0.553711,0.573242,0.019531,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,MDSA_2009_5_20,3,"All natural resources on Earth are either renewable or nonrenewable. Whether a resource is renewable or nonrenewable depends on how fast or slow the resource is replaced. If the resource is used faster than it is replaced, then the resource will, in time, disappear. Which activity shows the use of a nonrenewable natural resource?",0,5,0,99.965491,95.000000,0.652498,0.568275,-0.084224,0.782511,0.515276,-0.267234,0.998885,0.998877,-0.000008,0.998761,0.998692,-0.000069,0.006935,0.007827,0.000893,0.004156,0.004261,0.000105,0.722900,0.723816,0.000916,0.686523,0.682617,-0.003906,0.270370,0.268188,-0.002182,0.309082,0.312988,0.003906,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_415093,0,Which of these chemical equations demonstrates the law of conservation of mass as it applies to the combustion of ethane?,0,5,1,99.854800,100.000000,0.662922,0.636674,-0.026248,0.778337,0.744929,-0.033408,0.997396,0.998340,0.000944,0.994641,0.998007,0.003366,0.019280,0.017165,-0.002116,0.008568,0.007973,-0.000595,0.750122,0.748352,-0.001770,0.700195,0.670898,-0.029297,0.230774,0.234314,0.003540,0.291992,0.321777,0.029785,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_414504,7,Students have a rock sample that may contain the mineral hematite. They know that hematite has a red or rusty streak. How can the students determine the color of the streak in the rock sample?,0,5,0,99.290125,100.000000,0.689224,0.682385,-0.006839,0.781164,0.773420,-0.007744,0.996010,0.995315,-0.000694,0.994835,0.992585,-0.002249,0.027563,0.027770,0.000206,0.009575,0.009109,-0.000465,0.771362,0.761353,-0.010010,0.682617,0.665039,-0.017578,0.201416,0.210770,0.009354,0.308105,0.325684,0.017578,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_SC_402638,11,"The following mountain ranges: the Alps, Appalachians, and Himalayas are formed from",0,5,1,99.693129,100.000000,0.636763,0.622191,-0.014572,0.770967,0.716584,-0.054383,0.998263,0.998343,0.000080,0.998241,0.998053,-0.000188,0.012575,0.012625,0.000050,0.005783,0.004959,-0.000824,0.777832,0.783691,0.005859,0.695312,0.721680,0.026367,0.209244,0.203644,-0.005600,0.299561,0.273438,-0.026123,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,MDSA_2007_8_17,11,A student has one liter of feathers and one liter of iron nails. Which statement best compares the masses of the two samples?,0,5,0,97.767281,100.000000,0.695646,0.668032,-0.027615,0.820040,0.725030,-0.095009,0.994954,0.994424,-0.000530,0.994163,0.985251,-0.008912,0.027120,0.024516,-0.002605,0.007454,0.005951,-0.001503,0.771606,0.748047,-0.023560,0.656250,0.557617,-0.098633,0.201385,0.227692,0.026306,0.335938,0.436035,0.100098,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_7212818,7,Scientists present the results of their investigations to others for review because,0,5,0,96.707367,100.000000,0.723270,0.708964,-0.014306,0.792125,0.728875,-0.063250,0.997196,0.995672,-0.001524,0.996631,0.992280,-0.004351,0.015573,0.015311,-0.000261,0.009186,0.007790,-0.001396,0.756165,0.755920,-0.000244,0.662109,0.672852,0.010742,0.228134,0.228775,0.000641,0.328125,0.318848,-0.009277,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_175385,11,What happens to a wooden log when it is burned?,0,5,0,98.313126,100.000000,0.674401,0.674114,-0.000287,0.791321,0.766989,-0.024333,0.998183,0.998494,0.000311,0.997486,0.998260,0.000774,0.017620,0.018320,0.000700,0.007179,0.008881,0.001701,0.765015,0.770874,0.005859,0.666016,0.697266,0.031250,0.217484,0.211044,-0.006439,0.326660,0.293457,-0.033203,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_7221655,12,"Electric cars are expensive to own, and recharging stations are not readily available. Unlike cars that run on fossil fuels, electric cars produce no carbon monoxide when being driven. Which of the following best explains why people choose to use this technology?",0,5,0,94.613175,100.000000,0.671679,0.662039,-0.009640,0.783403,0.763266,-0.020137,0.993734,0.989742,-0.003992,0.990983,0.978885,-0.012098,0.041644,0.042108,0.000464,0.007011,0.008133,0.001122,0.715332,0.719788,0.004456,0.657227,0.663086,0.005859,0.243210,0.238251,-0.004959,0.335449,0.327637,-0.007812,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,Mercury_7212818,0,Scientists present the results of their investigations to others for review because,0,5,0,99.697188,100.000000,0.684829,0.664616,-0.020213,0.768618,0.737346,-0.031272,0.998169,0.998301,0.000132,0.997650,0.997542,-0.000107,0.008293,0.008951,0.000658,0.005173,0.004875,-0.000298,0.639099,0.638611,-0.000488,0.602539,0.611328,0.008789,0.353180,0.352463,-0.000717,0.392578,0.384277,-0.008301,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,Mercury_7064575,3,Coal-powered plants are designed specifically to convert,0,5,0,99.536402,100.000000,0.671134,0.656846,-0.014288,0.788001,0.770700,-0.017301,0.998976,0.998801,-0.000175,0.998676,0.998094,-0.000583,0.006318,0.006448,0.000130,0.003941,0.005478,0.001537,0.641205,0.628876,-0.012329,0.610352,0.549805,-0.060547,0.352295,0.365051,0.012756,0.385254,0.445312,0.060059,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,Mercury_185010,3,"Certain trees, such as the dogwood, can be inhabited by a fungus that damages their leaves. Which of the following best describes the relationship between the tree and the fungus?",0,5,0,99.721711,100.000000,0.648525,0.631441,-0.017084,0.774405,0.743098,-0.031306,0.998436,0.998323,-0.000113,0.997984,0.997261,-0.000723,0.010346,0.010714,0.000369,0.003693,0.003967,0.000275,0.737122,0.733276,-0.003845,0.625977,0.608398,-0.017578,0.252350,0.256119,0.003769,0.370605,0.387695,0.017090,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,Mercury_7171605,3,Students are observing two fossils in a lab. They are told by the teacher that the fossils were found in different rock layers. What can the students most likely determine from just observing the fossils?,0,5,0,98.591095,100.000000,0.665284,0.664051,-0.001233,0.768934,0.748259,-0.020675,0.998655,0.998223,-0.000431,0.998039,0.996451,-0.001588,0.011284,0.011830,0.000546,0.005608,0.006771,0.001163,0.759827,0.751709,-0.008118,0.673828,0.663086,-0.010742,0.228958,0.236496,0.007538,0.320312,0.331055,0.010742,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,Mercury_7043820,7,"When cold temperatures are produced in a chemical reaction, the reaction is known as",0,5,0,97.476571,95.000000,0.786570,0.755579,-0.030992,0.842105,0.783823,-0.058281,0.962713,0.954366,-0.008347,0.968056,0.937872,-0.030184,0.072354,0.056197,-0.016157,0.041016,0.019730,-0.021286,0.674988,0.656738,-0.018250,0.593750,0.499023,-0.094727,0.252853,0.287140,0.034286,0.365234,0.481934,0.116699,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,Mercury_7271128,5,What is the complementary base to cytosine in DNA?,0,5,0,99.205936,100.000000,0.639703,0.635188,-0.004516,0.783811,0.761927,-0.021884,0.998576,0.998420,-0.000156,0.997801,0.996514,-0.001287,0.067393,0.066030,-0.001363,0.007923,0.008076,0.000153,0.673157,0.672852,-0.000305,0.641602,0.629883,-0.011719,0.259506,0.261368,0.001862,0.350586,0.364258,0.013672,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,TAKS_2009_8_36,5,How many elements are in the compound Mg(OH)2?,0,5,1,89.920730,100.000000,0.719152,0.742642,0.023490,0.809326,0.850723,0.041396,0.958092,0.973926,0.015834,0.934400,0.965764,0.031364,0.050115,0.054925,0.004810,0.016830,0.018433,0.001602,0.725464,0.719666,-0.005798,0.627930,0.622070,-0.005859,0.224335,0.225067,0.000732,0.354492,0.357910,0.003418,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,Mercury_7094290,3,"It was once thought that living organisms could come from non-living matter. For example, people believed that flies would develop from rotting meat. This idea was later disproved primarily because of",0,5,0,99.438991,100.000000,0.695004,0.684890,-0.010115,0.796699,0.764230,-0.032469,0.998687,0.998686,-0.000001,0.998675,0.998091,-0.000585,0.016451,0.015894,-0.000556,0.008003,0.009789,0.001785,0.746033,0.745605,-0.000427,0.695312,0.690430,-0.004883,0.237473,0.238205,0.000732,0.297119,0.299316,0.002197,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,Mercury_7212818,3,Scientists present the results of their investigations to others for review because,0,5,0,76.046766,95.000000,0.729967,0.703321,-0.026646,0.798362,0.699556,-0.098806,0.988864,0.977523,-0.011341,0.979716,0.938763,-0.040952,0.020307,0.017407,-0.002900,0.009888,0.006134,-0.003754,0.681030,0.672180,-0.008850,0.630859,0.586914,-0.043945,0.298431,0.310394,0.011963,0.357910,0.406738,0.048828,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,AKDE&ED_2008_8_47,7,"As stream velocity decreases, which factor will likely increase?",0,5,0,99.917231,95.000000,0.641332,0.633595,-0.007736,0.773375,0.733002,-0.040373,0.994289,0.992666,-0.001623,0.992116,0.981249,-0.010868,0.045611,0.046892,0.001281,0.007332,0.010277,0.002945,0.727051,0.706543,-0.020508,0.609375,0.548828,-0.060547,0.227386,0.246323,0.018936,0.384277,0.439941,0.055664,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,Mercury_409647,1,"Nutrient-laden waters from heavy rains flow into the Gulf of Mexico. This produces an algae bloom in the ocean environment. As the algae decays, it uses up large amounts of oxygen along the coastline. Which will most likely happen to the area as a result?",0,5,0,90.520978,100.000000,0.615963,0.609686,-0.006276,0.813101,0.808520,-0.004581,0.998117,0.998264,0.000147,0.998145,0.998902,0.000757,0.033669,0.033387,-0.000282,0.003448,0.003548,0.000099,0.465744,0.464638,-0.001106,0.440918,0.441406,0.000488,0.500122,0.501862,0.001740,0.554688,0.555176,0.000488,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,Mercury_7064575,9,Coal-powered plants are designed specifically to convert,0,5,0,99.572991,100.000000,0.646087,0.649435,0.003347,0.760082,0.741950,-0.018132,0.999175,0.999185,0.000011,0.998921,0.998753,-0.000169,0.005133,0.005598,0.000465,0.002099,0.002899,0.000800,0.666809,0.659363,-0.007446,0.625000,0.622070,-0.002930,0.328445,0.335144,0.006699,0.374023,0.375488,0.001465,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,Mercury_7221655,3,"Electric cars are expensive to own, and recharging stations are not readily available. Unlike cars that run on fossil fuels, electric cars produce no carbon monoxide when being driven. Which of the following best explains why people choose to use this technology?",0,5,0,95.433625,100.000000,0.699970,0.692183,-0.007787,0.790397,0.791308,0.000911,0.998331,0.998126,-0.000205,0.998300,0.998014,-0.000286,0.009086,0.009193,0.000107,0.004845,0.004807,-0.000038,0.608032,0.638336,0.030304,0.581055,0.612305,0.031250,0.382660,0.352661,-0.029999,0.413574,0.381836,-0.031738,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,Mercury_400407,5,Which statement is true about the solar system?,0,5,0,94.239412,95.000000,0.676253,0.685777,0.009524,0.791101,0.771932,-0.019169,0.997938,0.996236,-0.001702,0.997654,0.994076,-0.003577,0.013382,0.017516,0.004135,0.006733,0.008377,0.001644,0.751099,0.758362,0.007263,0.653320,0.710938,0.057617,0.236008,0.224136,-0.011871,0.339355,0.280762,-0.058594,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,MDSA_2009_5_20,1,"All natural resources on Earth are either renewable or nonrenewable. Whether a resource is renewable or nonrenewable depends on how fast or slow the resource is replaced. If the resource is used faster than it is replaced, then the resource will, in time, disappear. Which activity shows the use of a nonrenewable natural resource?",0,5,0,96.713163,100.000000,0.666891,0.667539,0.000648,0.794813,0.775549,-0.019264,0.998393,0.998645,0.000252,0.997925,0.998743,0.000818,0.009114,0.010067,0.000954,0.006588,0.005154,-0.001434,0.710693,0.713196,0.002502,0.677734,0.708008,0.030273,0.280334,0.276703,-0.003632,0.315918,0.287354,-0.028564,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,NYSEDREGENTS_2008_8_30,5,Part of the east coast of South America and the west coast of Africa have matching fossils within the same series of rock layers. This provides evidence that these two continents were once,0,5,0,94.710510,100.000000,0.658713,0.657115,-0.001597,0.752586,0.749159,-0.003426,0.994319,0.990193,-0.004126,0.989880,0.981747,-0.008133,0.020982,0.023203,0.002221,0.008728,0.008888,0.000160,0.739868,0.732605,-0.007263,0.642578,0.656250,0.013672,0.239548,0.244293,0.004745,0.348145,0.334473,-0.013672,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,Mercury_SC_407070,12,Which statement best describes a property of water?,0,5,1,95.621082,100.000000,0.662397,0.659560,-0.002837,0.779908,0.763610,-0.016298,0.996907,0.995884,-0.001023,0.995090,0.991418,-0.003671,0.063140,0.065325,0.002185,0.007812,0.009605,0.001793,0.702271,0.700073,-0.002197,0.613281,0.609375,-0.003906,0.234573,0.234436,-0.000137,0.378906,0.380859,0.001953,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,Mercury_402216,5,"When an electric current is passed through water (H_{2}O) using a specific apparatus, hydrogen (H_{2}) and oxygen (O_{2}) gases form. How can this reaction be shown in a chemical equation?",0,5,0,99.434946,95.000000,0.693406,0.681763,-0.011643,0.791215,0.751167,-0.040048,0.997920,0.997352,-0.000568,0.996534,0.993779,-0.002755,0.019399,0.019580,0.000182,0.009766,0.009018,-0.000748,0.731018,0.706177,-0.024841,0.662109,0.560547,-0.101562,0.249527,0.274292,0.024765,0.327637,0.430664,0.103027,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,MCAS_2004_9_15-v1,5,Which of the following is the primary difference between hydraulic and pneumatic systems?,0,5,0,93.118544,100.000000,0.646542,0.644229,-0.002313,0.791112,0.783872,-0.007241,0.994969,0.994985,0.000017,0.992964,0.993521,0.000557,0.057096,0.058927,0.001831,0.011024,0.010925,-0.000099,0.729187,0.728760,-0.000427,0.685547,0.683594,-0.001953,0.213715,0.212311,-0.001404,0.304199,0.305176,0.000977,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,Mercury_7212818,8,Scientists present the results of their investigations to others for review because,0,5,1,96.884243,100.000000,0.680847,0.673150,-0.007697,0.759181,0.692244,-0.066938,0.996988,0.996760,-0.000227,0.995898,0.994019,-0.001879,0.012880,0.014529,0.001650,0.006176,0.007595,0.001419,0.771729,0.779175,0.007446,0.671875,0.700195,0.028320,0.215271,0.206238,-0.009033,0.321777,0.291992,-0.029785,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,MCAS_2014_8_20,15,The students in a class would like to make 20 paper sailboats for a race. The students will select one design and collect the materials they need to construct the boats. Which of the following is the best way for the students to be sure the paper sailboats will float without tipping over in the water?,0,5,0,91.361915,100.000000,0.684394,0.670055,-0.014339,0.751488,0.711077,-0.040411,0.997556,0.997137,-0.000420,0.996712,0.995884,-0.000828,0.016402,0.017760,0.001358,0.005753,0.006351,0.000599,0.770630,0.776611,0.005981,0.681641,0.706055,0.024414,0.212616,0.205658,-0.006958,0.312988,0.287109,-0.025879,,
